RPTID	CAUSE	CAUSE_TXT	PIPE_COAT	PIPE_COAT_TXT	VIS_EXAM	VIS_EXAM_TXT	VIS_EXAMO	COR_CAUSE	COR_CAUSE_TXT	COR_CAUSEO	PROT	CPYR	PREV_DAM	PREV_DAM_YR	PREV_DAM_MO	PREV_DAM_UK	EARTH_MOVE	EARTH_MOVE_TXT	EARTH_MOVEO	FLOODS	FLOODS_TXT	FLOODSO	TEMPER	TEMPER_TXT	TEMPERO	THIRD_PARTY_GRP	THIRD_PARTY_GRP_TXT	THIRD_PARTY_TYPE	THIRD_PARTY_TYPE_TXT	THIRD_PARTY_TYPEO	EXCAV_TYPE	EXCAV_TYPE_TXT	EXCAV_ON	EXCAV_LAST_CONTACT	NOTIF	NOTIF_DATE	NOTIF_RCVD_TXT	MARKED	TEMP_MARK	TEMP_MARK_TXT	PERM_MARK	ACC_MARK	ACC_MARK_TXT	MKD_IN_TIME	FIRE_EXPLO	FIRE_EXPLO_TXT	PIPE_BODY	PIPE_BODY_TXT	PIPE_BODYO	COMPONENT	COMPONENT_TXT	COMPONENTO	JOINT	JOINT_TXT	JOINTO	BUTT	BUTT_TXT	BUTTO	FILLET	FILLET_TXT	FILLETO	PIPE_SEAM	PIPE_SEAM_TXT	PIPE_SEAMO	FAIL_TYPE	FAIL_TYPE_TXT	CONS_DEF	CONS_DEF_TXT	PIPE_DAMAGE	PRS_TEST	TEST_MO	TEST_DAY	TEST_YR	TEST_MED	TEST_MED_TXT	TEST_MEDO	TEST_TP	TEST_PRS	MALFUNC	MALFUNC_TXT	MALFUNCO	THREADS	THREADS_TXT	THREADSO	SEAL	SEAL_TXT	SEALO	IO_TYPE	IO_TYPE_TXT	IO_TYPEO	IO_DRUG	IO_ALCO	MISC	UNKNOWN	UNKNOWN_TXT
20020082	17	BUTT WELD																																																						2	FABRICATION								1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	10	29	1994	1	WATER		8	10																	
20020083	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES						
20020084																																																																																															
20020085	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20020086																																																																																															
20020087																																																																																															
20020088																																																																																															
20020089																																																																																															
20020090	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1955	NO																																																																																		
20020091	9	THIRD PARTY EXCAVATION DAMAGE																										2	PIPELINE		1	OPEN TRENCH	YES		NO																																																												
20020092																																																																																															
20020093																																																																																															
20020094	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES		NO																																																																																		
20020095	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20020096																																																																																															
20020097	6	TEMPERATURE																					3	FROZEN COMPONENTS																																																																							
20020098																																																																																															
20020099	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20020100																																																																																															
20020101																																																																																															
20020102																																																																																															
20020103																																																																																															
20020104	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	PRESSURE GAUGE											
20020105																																																																																															
20020106	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20020107	1	"CORROSION, EXTERNAL"	1	BARE	1	LOCALIZED PITTING		1	GALVANIC		YES	1960	NO																																																																																		
20020108	24	MISCELLANEOUS																																																																																											ARC BURN FROM DOWNED ACTIVE POWER LINE. 		
20020109	15	COMPONENT																																																5	OTHER	COLLET ON TUBING													1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20020110																																																																																															
20020111	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1974	NO																																																																																		
20020113																																																																																															
20020114																																																																																															
20020115	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20020116	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20020117																																																																																															
20020118																																																																																															
20020119	24	MISCELLANEOUS																																																																																											SEE NARRATIVE BELOW		
20020120	15	COMPONENT																																																5	OTHER	FITTING													1	CONSTRUCTION DEFECT	3	POOR CONSTRUCTION PROCEDURES	NO	YES	1	20	2002	3	OTHER	AIR	1	105																	
20020121																																																																																															
20020122	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20020123	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	10	OTHER LIQUID OR GAS TRANSMISSION PIPELINE OPERATOR OR THEIR CONTRACTOR		1	OPEN TRENCH	YES		YES	1/1/2000	ONE-CALL SYSTEM	YES	3	PAINT	YES	1	ACCURATE	YES																																																			
20020124																																																																																															
20020125																																																																																															
20020126																																																																																															
20020127																																																																																															
20020128	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	10	12	1989	1	WATER		8	1380																	
20020129	11	"CAR, TRUCK OR OTHER VEHICLE NOT RELATED TO EXCAVATION ACTIVITY"																																																																																													
20020130																																																																																															
20020131																																																																																															
20020132																																																																																															
20020133	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	UNDETERMINED	YES	2001	NO																																																																																		
20020134	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	10	OTHER LIQUID OR GAS TRANSMISSION PIPELINE OPERATOR OR THEIR CONTRACTOR		1	OPEN TRENCH	YES		YES	12/1/2000	ONE-CALL SYSTEM	YES	1	FLAGS	YES	1	ACCURATE	YES																																																			
20020135																																																																																															
20020136																																																																																															
20020137	24	MISCELLANEOUS																																																																																											HIGH PRESSURE HOSE CONNECTING PRESSURE TRANSMITTER TO LINE		
20020138	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20020139	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT				YES	12	2	1998	3	OTHER	DIESEL FUEL	4	371																	
20020140	24	MISCELLANEOUS																																																																																											CORROSION		
20020141																																																																																															
20020142																																																																																															
20020143	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	4	ELECTRIC		2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	YES		YES	1/1/2000	ONE-CALL SYSTEM																																																										
20020144																																																																																															
20020145	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	3	WATER		1	OPEN TRENCH	NO		NO			NO																																																									
20020146																																																																																															
20020147																																																																																															
20020148	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	7	LANDOWNER - NOT FARMING RELATED		1	OPEN TRENCH	NO		NO			NO																																																									
20020149	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20020150	3	EARTH MOVEMENT															4	OTHER	POWER FAILURE																																																																												
20020151	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	8	8	1991	1	WATER		4	1180																	
20020152	3	EARTH MOVEMENT															2	SUBSIDENCE																																																																													
20020153	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES		NO																																																																																		
20020154																																																																																															
20020155																																																																																															
20020156																																																																																															
20020157	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES		0	0			
20020158																																																																																															
20020159																																																																																															
20020160	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES		NO																																																																																		
20020161																																																																																															
20020162																																																																																															
20020163																																																																																															
20020164																																																																																															
20020165																																																																																															
20020166																																																																																															
20020167	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1974	NO																																																																																		
20020168																																																																																															
20020169	19	PIPE SEAM WELD																																																												4	FLASH WELD		2	MATERIAL DEFECT			NO	YES	9	11	1990	1	WATER		8	1562																	
20020170																																																																																															
20020171	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													5	BLOCK VALVE															
20020172																																																																																															
20020173	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20020174																																																																																															
20020175	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT			NO	YES	8	1	2000	1	WATER		4	2700																	
20020176																																																																																															
20020177	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1953	NO																																																																																		
20020178	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20020179	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1950	NO																																																																																		
20020180	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1950	NO																																																																																		
20020181	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	"IN  PLANT DELIVERY VALVE, CENTAL MANIFOLD. "														
20020182	4	LIGHTNING																																																																																													
20020183	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1950	NO																																																																																		
20020184																																																																																															
20020185																																																																																															
20020186																																																																																															
20020188																																																																																															
20020189	1	"CORROSION, EXTERNAL"	2	COATED	3	OTHER	CIRCUMFERENTIAL CREVICE	8	OTHER	CREVICE	YES	1964	YES	38	0																																																																																
20020190	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	1	ROAD WORK		1	OPEN TRENCH	NO		NO																																																												
20020191	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20020192																																																																																															
20020193																																																																																															
20020194	15	COMPONENT																																																2	FITTING														2	MATERIAL DEFECT			NO	NO																									
20020195	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1999	NO																																																																																		
20020196	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20020197	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	1	6	1988	1	WATER		8	1340																	
20020198																																																																																															
20020199	24	MISCELLANEOUS																																																																					11	1	2000																				3RD PARTY TUG BOAT OPERATING IN AREA HIT AND DAMAGED PIPELINE.		
20020200																																																																																															
20020201																																																																																															
20020202	24	MISCELLANEOUS																																																																																											MATERIAL FAILURE OF OUTBOARD BEARING COOLING HOUSING ON MAINLINE PUMPING UNIT.		
20020203																																																																																															
20020204																																																																																															
20020205	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20020206	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20020207																																																																																															
20020208																																																																																															
20020209																																																																																															
20020210																																																																																															
20020211																																																																																															
20020212																																																																																															
20020214	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20020215	23	INCORRECT OPERATION																																																																																						4	OTHER	INCORRECT GASKET INSTALLED DURING ORIGINAL DELIVER					
20020216																																																																																															
20020217																																																																																															
20020218	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	EXCAVATION FOR A HOUSE PAD	1	OPEN TRENCH	NO		NO			NO																																																									
20020219	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	GENERAL CONTRACTOR	1	OPEN TRENCH	NO		NO			YES	1	FLAGS		1	ACCURATE	YES																																																			
20020220																																																																																															
20020221																																																																																															
20020222																																																																																															
20020223	13	VANDALISM																																																																																													
20020224	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20020225																																																																																															
20020226																																																																																															
20020227	15	COMPONENT																																																5	OTHER	"6"" 600# FLANGE"													2	MATERIAL DEFECT			NO	NO																									
20020228																																																																																															
20020229																																																																																															
20020230																																																																																															
20020231																																																																																															
20020233	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20020234																																																																																															
20020235	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	7	LANDOWNER - NOT FARMING RELATED		1	OPEN TRENCH	NO		NO			NO																																																									
20020236																																																																																															
20020237	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	EXTERNAL CORROSION	YES	1961	NO																																																																																		
20020238	19	PIPE SEAM WELD																																																												2	DSAW		2	MATERIAL DEFECT			YES	YES	9	10	1991	1	WATER		8	930																	
20020239	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	TUBING											
20020240	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20020241	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1950	NO																																																																																		
20020242	4	LIGHTNING																																																																																													
20020243	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1952	NO																																																																																		
20020244																																																																																															
20020245																																																																																															
20020246	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1992	NO																																																																																		
20020247	4	LIGHTNING																																																																																													
20020248	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													5	BLOCK VALVE															
20020250	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1954	NO																																																																																		
20020251																																																																																															
20020252																																																																																															
20020253	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20020254	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20020255																																																																																															
20020256																																																																																															
20020257	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20020258																																																																																															
20020259																																																																																															
20020260																																																																																															
20020261																																																																																															
20020262																																																																																															
20020263	1	"CORROSION, EXTERNAL"	2	COATED	2	GENERAL CORROSION		8	OTHER	UNKNOWN	YES	1952	NO																																																																																		
20020264																																																																																															
20020265	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20020269																																																																																															
20020270	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	THERMOWELL											
20020271	4	LIGHTNING																																																																																													
20020273	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20020274	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1952	NO																																																																																		
20020276	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20020277	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES		0	0			
20020278																																																																																															
20020279	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													1	CONTROL VALVE															
20020280																																																																																															
20020281	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1953	NO																																																																																		
20020282	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20020283	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20020284	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	YES	5	17	1991	1	WATER		8	1856																	
20020285																																																																																															
20020287																																																																																															
20020288																																																																																															
20020289																																																																																															
20020290	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1952	NO																																																																																		
20020291																																																																																															
20020292	15	COMPONENT																																																5	OTHER	8-Mar													1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20020293																																																																																															
20020294	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	EQUIPMENT MAINTENANCE	1	OPEN TRENCH	NO		NO			NO																																																									
20020295	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			4	OTHER	CHECK VALVE SHAFT SEAL								
20020296	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20020297	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1969	NO																																																																																		
20020298																																																																																															
20020299	24	MISCELLANEOUS																																																																																											SPILLED DURING TANK MAINTENANCE ACTIVITY		
20020300	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1984	NO																																																																																		
20020301	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	MARSH DITCH WORK	1	OPEN TRENCH	NO		YES	1/1/2000	ONE-CALL SYSTEM	NO																																																									
20020302	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	MINERAL RIGHTS EXCAVATOR	1	OPEN TRENCH	NO		NO			NO																																																									
20020303	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	WATER UNDER CONCRETE COATING	YES	1962	NO																																																																																		
20020304																																																																																															
20020306																																																																																															
20020307	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20020308	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20020309	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	4	ELECTRIC		1	OPEN TRENCH	NO		NO			NO																																																									
20020310																																																																																															
20020311																																																																																															
20020312																																																																																															
20020313	25	UNKNOWN																																																																																												2	STILL UNDER INVESTIGATION
20020314	25	UNKNOWN																																																																																												1	INVESTIGATION COMPLETE
20020315																																																																																															
20020317	23	INCORRECT OPERATION																																																																																						4	OTHER	"STANDARDS, POLICIES, OR ADMINISTRATIVE CONTROLS "	0	0			
20020318																																																																																															
20020319																																																																																															
20020320	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	INTERNAL CORROSION	4	MICROBIOLOGICAL		NO		NO																																																																																		
20020321																																																																																															
20020322																																																																																															
20020323																																																																																															
20020324	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT			NO	YES	8	26	2001	1	WATER		8	2220																	
20020325																																																																																															
20020326																																																																																															
20020327																																																																																															
20020328																																																																																															
20020329																																																																																															
20020330	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	DUMP VALVE														
20020331	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1954	NO																																																																																		
20020332	14	BODY OF PIPE																																																																																													
20020333																																																																																															
20020334																																																																																															
20020335	1	"CORROSION, EXTERNAL"	2	COATED	2	GENERAL CORROSION		1	GALVANIC		YES	1972	NO																																																																																		
20020336																																																																																															
20020337	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20020338																																																																																															
20020339	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	SUMP PIPE														
20020340																																																																																															
20020341	15	COMPONENT																																																3	VESSEL														2	MATERIAL DEFECT			NO	NO																									
20020342	23	INCORRECT OPERATION																																																																																						4	OTHER	INADEQUATE INTERDEPARTMENTAL COMMUNICATIONS					
20020343	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20020344	24	MISCELLANEOUS																																																																																											"OUTLET SUMP DRAIN VALVE AT FACILITY WAS OPEN, LIKELY ACCIDENTLY KICKED OPEN BY METER TECHNICIAN WHILE PREPARING TO PROVE DELIVERY METER. THIS CAUSED THE SUMP TANK TO OVERFLOW ONTO THE SURROUNDING GROUND."		
20020345	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT			NO	YES	12	2	1998	3	OTHER	DIESEL FUEL	4	371																	
20020346																																																																																															
20020347	25	UNKNOWN																																																																																													
20020348	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	5	SEWER		1	OPEN TRENCH	YES		YES	1/1/2000	ONE-CALL SYSTEM	YES	1	FLAGS		1	ACCURATE	YES																																																			
20020349																																																																																															
20020350																																																																																															
20020351																																																																																															
20020352																																																																																															
20020353																																																																																															
20020354	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	IMMERSION PITTING	YES	1980	NO																																																																																		
20020355	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	NO																									
20020356	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	NO																									
20020357																																																																																															
20020358	18	FILLET WELD																																																									5	OTHER	TANK FLOOR TO SHELL				2	MATERIAL DEFECT			NO	YES	4	28	1990	1	WATER		24	22																	
20020359	1	"CORROSION, EXTERNAL"	2	COATED	2	GENERAL CORROSION		8	OTHER	COATING DAMAGE	NO		YES	18	0																																																																																
20020361																																																																																															
20020362																																																																																															
20020363	11	"CAR, TRUCK OR OTHER VEHICLE NOT RELATED TO EXCAVATION ACTIVITY"																																																																																													
20020364																																																																																															
20020365	24	MISCELLANEOUS																																																																																											"CORROSION.  MISCELLANEOUS IS CHECKED BECAUSE, OPERATOR DIDN'T COMPLETE REPORT"		
