"RPTID","CAUSE","CAUSE_TXT","OPERATOR_ID","OWNER_OPERATOR_ID","NAME","OPSTREET","OPCITY","OPCOUNTY","OPSTATE","OPZIP","IHOUR","IDATE","IYEAR","LATITUDE","LONGITUDE","ACCITY","ACCOUNTY","ACSTATE","ACZIP","MPVST","SURNO","TELRN","TELID","TELDT","PPPRP","EMRPRP","ENVPRP","OPCPRP","OPCPRPO","PRODPRP","OPPRP","OOPPRP","OOPPRPO","PRPTY","SPILLED","COMM","CLASS","CLASS_TXT","SPUNIT","SPUNIT_TXT","LOSS","RECOV","GEN_CAUSE","GEN_CAUSE_TXT","LINE_SEG","IFED","INTER","OFFSHORE","OFFAREA","BNUMB","OFFST","OCS","OPPROP","PIPEROW","HCA","HCADESC","SYSPRT","SYSPRT_TXT","SYSPRTO","FAIL_OC","FAIL_OC_TXT","FAIL_OCO","PRTYR","INC_PRS","MOP","OPRS","LRTYPE","LRTYPE_TXT","LRTYPEO","LEAK","LEAK_TXT","PUNC_DIAM","RUPTURE","RUPTURE_TXT","RUPLN","PROPLN","UBLKVM","UBLKVA","UBLKVR","UBLKVC","DBLKVM","DBLKVA","DBLKVR","DBLKVC","SEGISO","VLVDIST","SEGCONF","INLINE","INLINE_TXT","DRHRMF","DRHRMFY","DRLRMF","DRLRMFY","DRUT","DRUTY","DRGEO","DRGEOY","DRCAL","DRCALY","DRCRK","DRCRKY","DRHARD","DRHARDY","DROTH","DROTHY","NPS","WALLTHK","SPEC","SMYS","SEAM","VALVE","MANU","MANYR","LOCLK","LOCLK_TXT","LOCLKO","DEPTH_COV","EFAT","NFAT","GPFAT","INJURE","EINJ","NINJ","GPINJ","SHUTDOWN","SHUTDAY","SHUTHR","SHUTMIN","IGNITE","EXPLO","EVAC","EVACNO","EVAC_REASON","EVAC_REASON_TEXT","STHH","STMN","FISH","BIRDS","TERRESTRIAL","SOIL","SOIL_YRD","IMPACT","REMEDIAL","RSURFACE","RGROUND","RSOIL","RVEG","RWILD","WATER","AMT_IN_WATER","OCEAN","SURFACE","GROUNDW","DRINK","DRINKSRC","DRINKSRC_TXT","COMP_BASED","DETECTED","DETECTED_TXT","DETECTEDO","DURLEAK_DAY","DURLEAK_HR"
20020048,21,"THREADS STRIPPED, BROKEN PIPE COUPLING",22610,,"WILLIAMS PIPE LINE COMPANY","PO BOX 21628","TULSA","TULSA","OK",74101,1610,"2/3/2002",2002,41.68136751,-91.57206919,"IOWA CITY","JOHNSON","IA",52241,"MP 106+07",,593693,,"2/3/2002",0,1000,5760,0,,42,0,0,,6802,"YES","FUEL OIL",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1,"BARRELS",80,79,6,"EQUIPMENT","IOWA CITY TANK FARM","NO","INTERSTATE","NO",,,,"NO","YES","NO","YES","HIGH POPULATION ",3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,14,"OTHER","1-INCH RELIEF LINE",,275,275,"NO",,,,,,,,,,,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,1,,"SCHEDULE 40",,"SCHEDULE 40 PIPE",,"UNKNOWN",,3,"ABOVE GROUND",,,0,0,0,0,0,0,0,"YES",2,0,0,"NO","NO","NO",,,,,,"NO","NO","NO","YES",160,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,,,"NO",3,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",,,
20020049,2,"CORROSION, INTERNAL",31558,,"ENRON PIPELINE SERVICES CO","1400 SMITH STREET","HOUSTON","HARRIS","TX",77002,1030,"2/15/2002",2002,"35 25' 54.61","98 56' 37.7","CLINTON","WASHITA","OK",73601,"1439+47",,594131,,"2/15/2002",10000,127411,0,0,,25,300,22808,"REPAIR",160544,"YES","CRUDE OIL",4,"CRUDE OIL",1,"BARRELS",300,299,1,"CORROSION","ELK CITY TO CASHION","NO","INTRASTATE","NO",,,,"NO","NO","YES","NO",,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,"BODY OF PIPE",,1949,100,640,"NO",1,"LEAK",,1,"PINHOLE",,,,,,"YES","NO","NO","NO","YES","NO","NO","NO",147840,147840,"YES",1,"YES","YES",2002,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,10,0.37,,24000,"LAP WELD","GATE","YOUNGSTOWN",1948,4,"UNDER GROUND",,60,0,0,0,0,0,0,0,"YES",2,12,30,"NO","NO","NO",,,,,,"YES","NO","NO",,,"NO","YES","YES","NO","NO","NO","NO","YES",300,"NO","YES","NO","NO",,,"NO",5,"AIR PATROL OR GROUND SURVEILLANCE",,3,0
20020050,,,4805,,"EXPLORER PIPELINE CO","PO BOX 2650","TULSA","TULSA","OK",74101,930,"2/21/2002",2002,"N 30 10 140","W 93 19.957","CARLYSS","CALCASIEU","LA",70663,"12"" MP 0","LAKE CHARLES STATION","NA",,,0,0,0,0,,0,0,920,"RESPONSE,CLEAN-UP",920,"YES","JET FUEL",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",2,"GALLONS",6,6,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020051,,,4805,,"EXPLORER PIPELINE CO","PO BOX 2650","TULSA","TULSA","OK",74101,1730,"2/16/2002",2002,"N 29 49' 12","W 95 09' 13","HOUSTON","HARRIS","TX",77049,"28"" MP70.8 ","HOUSTON STATION","NA",,,0,0,0,0,,0,0,700,"RESPONSE,CLEAN-UP",700,"YES","GASOLINE",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1,"BARRELS",3,3,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020052,,,4805,,"EXPLORER PIPELINE CO","PO BOX 2650","TULSA","TULSA","OK",74101,1130,"2/18/2002",2002,"N 29 43' 03","W 95 10' 49","PASADENA","HARRIS","TX",77502,"28""MP0.0 PASADENA STA",,"NA",,,0,0,0,0,,0,0,7500,"RESPONSE,CLEANUP,REMEDIATION",7500,"YES","GASOLINE",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1,"BARRELS",2,1,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020053,22,"RUPTURED OR LEAKING SEAL/PUMP PACKING",26134,,"MOBIL OIL CORP - WEST COAST PIPELINE","12851 EAST 166TH STREET","CERRITOS","LOS ANGELES","CA",90703,1400,"2/19/2002",2002,"35 03.45N","119 03.53W","METTLER","KERN","CA",93301,"MP 75.00",,,,,0,350,350,1120,"LABOR",140,0,650,"PUMP SEAL",2610,"YES","CRUDE OIL",4,"CRUDE OIL",1,"BARRELS",15,11,6,"EQUIPMENT","EMIDO STATION","NO","INTRASTATE","NO",,,,"NO","YES","NO","NO",,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,4,"PUMP",,2001,1000,1440,"NO",,,,,,,,,,,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,,,,,,,,,7,"OTHER","SURFACE",0,0,0,0,0,0,0,0,"YES",0,4,0,"NO","NO","NO",,,,,,"NO","NO","NO","YES",1,"NO","YES","NO","NO","YES","NO","NO","NO",,,,,,,,"YES",3,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",,0,0
20020054,23,"INCORRECT OPERATION",31058,,"MARATHON ASHLAND PIPE LINE LLC","539 SOUTH MAIN STREET","FINDLAY","HANCOCK","OH",45850,1110,"2/21/2002",2002,39.3257,-87.89817,,"CLARK","IL",62441,,"STATION PIPING",,,,0,10000,5000,0,,1000,12000,0,,28000,"YES","GASOLINE",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1,"BARRELS",20,18,7,"INCORRECT OPERATION","STATION PIPING VALVE","NO","INTERSTATE","NO",,,,"NO","YES","NO","NO",,4,"OTHER","VALVE",8,"VALVE",,1973,40,275,"NO",,,,,,,,,,,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,12,,,,,"ANSI","GENERAL TWIN SEAL",1973,3,"ABOVE GROUND",,,0,0,0,0,0,0,0,"NO",,,,"NO","NO","NO",,,,0,0,"NO","NO","NO","YES",5,"NO","YES","NO","NO","YES","NO","NO","NO",,,,,,,,"YES",3,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",,0,1
20020055,1,"CORROSION, EXTERNAL",2731,,"CHEVRON PIPELINE CO","2811 HAYES ROAD","HOUSTON","HARRIS","TX",77082,1514,"2/6/2002",2002,,,"SALT LAKE CITY","DAVIS","UT",,"0.28 (T1N,R1W,)","S L B & M",593259,,"2/6/2002",10000,0,0,0,,15000,10000,231398,"RESPONSE & CLEANUP",266398,"YES","DIESEL",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1,"BARRELS",348,141,1,"CORROSION","#1 OIL LINE","NO","INTERSTATE","NO",,,,"NO","YES","NO","NO",,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,"BODY OF PIPE",,1948,1830,1870,"NO",2,"RUPTURE",,,,,2,"LONGITUDINAL-TEAR/CRACK",15,0,"NO","YES","NO","NO","YES","YES","NO","NO",31680,31680,"YES",1,"YES","NO",,"YES",2001,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,8,0.25,"GRADE C",24000,"SEAMLESS",,,,4,"UNDER GROUND",,36,0,0,0,0,0,0,0,"YES",2,2,45,"NO","NO","NO",,,,2,30,"NO","NO","NO","YES",510,"YES","YES","NO","NO","YES","NO","NO","NO",,,,,,,,"YES",3,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",,0,3
20020056,,,12452,,"MID - AMERICA PIPELINE CO (MAPCO)","PO BOX 21628","TULSA","OSAGE","OK",74101,1010,"2/8/2002",2002,,,,"WASHINGTON","KS",,"MP 98.52",,,,,0,0,0,0,,7,650,0,,657,"YES","ANHYDROUS AMMONIA",1,"HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS",2,"GALLONS",15,0,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020057,,,22855,,"KOCH PIPELINE COMPANY, L.P.","PO BOX 29","MEDFORD","GRANT","OK",73759,900,"2/20/2002",2002,"N34.1639756","W-96.3117832","TISHOMINGO","JOHNSTON","OK",,,,,,,0,0,0,0,,3,51,0,,54,"YES","PROPANE",1,"HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS",2,"GALLONS",10,0,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020058,24,"MISCELLANEOUS",12628,,"MOBIL PIPELINE CO","800 BELL STREET","HOUSTON","HARRIS","TX",77002,2330,"2/12/2002",2002,"N32 00207","W 102 02.433","MIDLAND","MIDLAND","TX",79701,"MP 0.00",,593882,,"2/13/2002",0,2000,0,3000,1,600,0,15000,"COST OF ENVIRONMENTAL REMEDATION ",20600,"YES","CRUDE OIL",4,"CRUDE OIL",1,"BARRELS",150,120,8,"OTHER","MIDLAND TANK FARM","NO","INTERSTATE","NO",,,,"NO","YES","NO","NO",,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,5,"SUMP",,1997,450,850,"NO",,,,,,,,,,,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,,,,,,,,,3,"ABOVE GROUND",,12,0,0,0,0,0,0,0,"YES",0,4,0,"NO","NO","NO",,,,,,"NO","NO","NO","YES",230,"NO","YES","NO","NO","YES","NO","NO","NO",,,,,,,,"YES",3,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",,0,2
20020059,,,2552,,"COLONIAL PIPELINE CO","1185 SANCTUARY PARKWAY, SUITE 100","ALPHARETTA","FULTON","GA","30009-9934",1445,"2/20/2002",2002,"-76 40' 33","39 11' 22","LINTHICUM","ANNE ARUNDEL","MD",21797,,"5638+41",,,,0,22880,5120,0,,0,0,2000,"CONTINGENCY",30000,"YES","KEROSENE",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1,"BARRELS",4,3,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
